,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Rwanda,RWA,0.541000009,0.578000009,0.666000009,0.737999976,0.782000005,0.782999992,0.713,0.626999974,0.60799998,0.897000015,1.024000049,1.082000017,1.128999949,1.207999945,1.245000005,1.166000009,1.087000012,0.981999993
South Asia,SAS,2.532501417,2.780587626,3.171968513,3.589409104,3.891297213,4.202037332,3.753878331,3.404849967,3.156952303,3.440732366,3.201203359,3.408541749,3.744262864,4.152776048,4.005215063,4.427552066,4.32031363,4.047183577
Saudi Arabia,SAU,9.371999741,9.18999958,11.64099979,12.65299988,13.50599957,14.22399998,14.77799988,14.3409996,13.94299984,16.20599937,17.49399948,19.0529995,20.96100044,20.78199959,21.6590004,21.58099937,21.07500076,19.99300003
Sudan,SDN,22.02799988,21.9640007,21.8220005,21.83099937,21.55200005,21.27000046,20.5510006,20.13599968,19.94799995,24.08600044,24.63999939,24.00799942,23.71299934,24.00799942,24.17399979,24.03300095,23.74799919,23.31100082
Singapore,SGP,3.463000059,3.88499999,5.781000137,6.195000172,6.204999924,6.070000172,4.947000027,4.31400013,4.400000095,6.511000156,4.402999878,4.303999901,4.201000214,4.372000217,4.089000225,3.96600008,4.462999821,4.304999828
Sierra Leone,SLE,2.477999926,2.400000095,2.420000076,2.36500001,2.292999983,2.378000021,2.384000063,2.388000011,2.49000001,3.026000023,3.042000055,3.127000093,3.371999979,3.655999899,3.84100008,3.944000006,3.917999983,3.571000099
El Salvador,SLV,3.742000103,5.217000008,3.204999924,3.203000069,3.424999952,4.793000221,3.882999897,3.713000059,3.621999979,4.920000076,4.159999847,3.414000034,3.308000088,3.332000017,3.140000105,3.473999977,3.851999998,4.001999855
Serbia,SRB,14.8760004,15.02900028,15.73200035,16.33699989,22.9659996,26.23500061,24.71100044,21.01099968,15.99499989,17.87000084,20.21999931,23.68899918,24.96800041,23.83300018,20.37299919,19.01099968,16.09900093,14.27299976
Slovak Republic,SVK,18.61199951,18.54999924,18.78100014,17.2840004,19.62800026,17.23200035,14.73499966,12.6789999,10.92700005,12.82699966,14.59799957,13.62699986,14.52099991,14.52499962,13.63099957,12.88500023,10.75199986,8.406999588
Slovenia,SVN,7.06400013,6.014999866,6.269999981,7.014999866,6.402999878,7.032000065,7.184999943,5.828000069,4.81799984,5.803999901,7.019000053,8.173000336,9.368000031,10.9090004,10.54699993,10.03499985,8.586999893,7.477000237
Sweden,SWE,4.999000072,4.396999836,4.622000217,5.008999825,6.18200016,7.373000145,7.255000114,6.46600008,6.565000057,8.01099968,8.520999908,7.763000011,7.710999966,7.888000011,7.693999767,7.289999962,6.585999966,6.441999912
Europe & Central Asia (IDA & IBRD countries),TEC,11.4818447,10.7908703,10.46952743,10.17886343,9.893352494,9.350488522,8.459364584,7.243810567,7.046678954,8.320496471,8.09353923,7.725734623,7.276893894,7.381185011,7.330195105,7.413860252,7.194569367,6.882713217
Togo,TGO,1.786000013,1.774999976,1.807999969,1.791000009,1.702000022,1.661999941,1.524000049,1.338999987,1.317000031,1.554999948,1.598999977,1.55400002,1.572000027,1.529000044,1.493999958,1.429999948,1.386000037,1.340999961
Thailand,THA,2.335999966,2.490999937,1.63499999,1.442000031,1.379999995,1.210000038,1.121999979,1.065999985,1.039999962,0.931999981,0.621999979,0.675999999,0.531000018,0.476000011,0.56400001,0.606000006,0.713999987,0.663999975
Tajikistan,TJK,13.32400036,13.05700016,12.95600033,12.68700027,12.2670002,11.81000042,10.76000023,9.991000175,9.829000473,10.34799957,10.4630003,10.45199966,10.55900002,10.65200043,10.47799969,10.1960001,9.873000145,9.633999825
