Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ethiopia,ETH,5.662799835,5.662799835,5.662799835,5.662799835,5.662799835,5.662799835,5.662799835,5.662799835,5.662799835,5.662799835,5.662799835,5.662799835,5.662799835,5.662799835,5.662799835,5.662799835,5.662799835,5.662799835
European Union,EUU,10.53115302,10.61912605,10.70709909,10.79507212,10.62033874,11.61795962,10.36789085,9.880156846,9.73961672,12.01576529,12.33093257,12.56658913,12.91844386,12.72624223,12.20518113,11.63744939,11.16464103,10.57697093
Finland,FIN,7.395142993,7.592428704,7.789714414,10.28999996,9.220000267,7.960000038,7.210000038,6.300000191,7.800000191,10.52000046,9.409999847,8.710000038,8.539999962,10.55000019,11.84000015,11.52999973,10.68000031,9.960000038
Fiji,FJI,8.963999748,8.963999748,8.963999748,8.963999748,8.963999748,8.963999748,8.963999748,8.963999748,8.963999748,8.963999748,8.963999748,10.02690029,10.02690029,10.02690029,11.43000031,11.43000031,10.82759953,10.82759953
France,FRA,9.396285775,9.588857197,9.781428619,8.699999809,10.27999973,10.39999962,10.39000034,10.02000046,10.38000011,13.27000046,12.68000031,12,12.90999985,11.02999973,11.52999973,12.31999969,11.92000008,12
United Kingdom,GBR,6.71395611,7.042967084,7.371978058,7.700989032,4.210000038,7.300000191,7.489999771,10.10999966,10.10999966,11.93000031,12.11999989,13.14000034,12.81999969,12.14999962,10.68000031,9.75,10.31999969,10.22999954
Georgia,GEO,24.21571732,24.34601593,24.47631454,24.60661316,24.73691177,24.86721039,24.997509,25.12780762,25.25810623,25.38840485,25.51870346,25.64900208,25.77930069,25.9095993,24.8519001,21.94470024,22.46489906,21.22859955
Ghana,GHA,27.00440025,26.08952522,25.17465019,24.25977516,23.34490013,22.4300251,19.68540001,19.68540001,19.68540001,19.68540001,19.68540001,19.68540001,19.68540001,8.706899643,8.706899643,18.50709915,18.50709915,18.50709915
Greece,GRC,7.819499924,8.427749943,9.035999961,10.10000038,10.57999992,17.40999985,8.68999958,8.119999886,8.770000458,9.5,12.64999962,16.09000015,19.02000046,20.86000061,18.68000031,17.12000084,15.90999985,15.02999973
Guatemala,GTM,5.203844063,5.346996879,5.490149694,5.463699818,6.717899799,5.646647612,5.830359046,6.014070479,6.197781912,6.381493346,6.291399956,7.169199944,5.394000053,8.934300423,7.967899799,6.390100002,8.191900253,7.090300083
Guyana,GUY,26.0848999,26.0848999,26.0848999,26.0848999,26.0848999,26.0848999,26.0848999,26.0848999,26.0848999,26.0848999,26.0848999,26.0848999,26.0848999,26.0848999,26.0848999,26.0848999,26.0848999,26.0848999
"Hong Kong SAR, China",HKG,8.918333224,8.754166569,8.589999914,8.425833259,8.261666604,8.09749995,7.933333295,7.76916664,7.604999985,7.869999886,7.309999943,6.510000229,6.510000229,7.139999866,6.880000114,6.429999828,6.28000021,6.127500091
Honduras,HND,8.327190148,8.593679166,8.860168185,9.126657203,9.393146221,10.18150043,9.356200218,11.31820011,9.152199745,9.927599907,10.16629982,12.2201004,12.57110023,11.13749981,13.94509983,11.60000038,12.67310047,12.11250019
Croatia,HRV,11.13785723,11.654066,12.17027478,12.68648355,13.20269233,17.36000061,13.89999962,12.39999962,11.25,13.35999966,17.13999939,17.76000023,17.92000008,20.61000061,21.88999939,20.53000069,19.04999924,15.43999958
Hungary,HUN,13.55883505,13.36391198,13.1689889,12.97406583,10.32999992,16.79999924,11.02999973,9.920000076,10.06000042,12.72000027,11.71000004,12.14000034,13.64999962,13.60999966,12.01000023,10.42000008,8.859999657,7.909999847
Indonesia,IDN,19.96120071,19.72970009,21.3132,21.51939964,21.55660057,23.04269981,21.70149994,21.05349922,19.70879936,19.61149979,18.74060059,18.19470024,15.07940006,15.59070015,15.38129997,16.62859917,16.08200073,15.27110004
India,IND,9.890999794,7.579999924,7.579999924,7.579999924,7.579999924,8.621100426,8.621100426,8.621100426,8.621100426,8.621100426,7.834300041,7.834300041,7.96269989,7.96269989,7.96269989,7.96269989,7.96269989,7.96269989
